name,algoritmo,modelo,modalidad,n,k,target_cardinality,cardinality_pred,Execution_Time,ARI,AMI,NMI,Silhouette_mean,Error_Card_Pct
orl,K-MeansACO,CLIP,imagen,400,40,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10,11.162873000001127,0.6339658119658119,0.7163658196177491,0.8334235388586314,0.2547932428237118,0.0
semeion,K-MeansACO,CLIP,imagen,1593,10,161 162 159 159 161 159 161 158 155 158,161 162 159 159 161 159 161 158 155 158,55.18007969999599,0.1671736939936318,0.2347814705171574,0.2433440786718771,0.042428547465541,0.0
retinamnist,K-MeansACO,CLIP,imagen,1600,5,714 186 326 282 92,714 186 326 282 92,53.57201009999699,0.0441451510128123,0.0685575576925338,0.0719075025842319,0.0621862881092466,0.0
digits,K-MeansACO,CLIP,imagen,1797,10,178 182 177 183 181 182 181 179 174 180,178 182 177 183 181 182 181 179 174 180,60.878604300000006,0.2508167712284766,0.3249910538023831,0.3316762758676671,0.0981945004308227,0.0
dermamnist,K-MeansACO,CLIP,imagen,2005,7,66 103 220 23 223 1341 29,66 103 220 23 223 1341 29,73.31446639999922,0.0140161231930005,0.0045916470173596,0.0129387801343655,-0.0536182724148629,0.0
lfw,K-MeansACO,CLIP,imagen,2370,34,39 35 36 77 42 236 31 121 530 109 44 30 39 71 52 55 42 53 31 60 32 41 41 48 33 37 30 32 52 33 33 144 32 49,39 35 36 77 42 236 31 121 530 109 44 30 39 71 52 55 42 53 31 60 32 41 41 48 33 37 30 32 52 33 33 144 32 49,98.49065469999914,0.1666593965150394,0.4423039880907555,0.4875054807992502,-0.0400512291539892,0.0
bloodmnist,K-MeansACO,CLIP,imagen,3421,8,244 624 311 579 243 284 666 470,244 624 311 579 243 284 666 470,148.25819270000648,0.0942525831654335,0.1517514287452996,0.1548011894953032,0.0575349757090919,0.0
stl10,K-MeansACO,CLIP,imagen,5000,10,500 500 500 500 500 500 500 500 500 500,500 500 500 500 500 500 500 500 500 500,254.7870916000029,0.8605026322867958,0.8882629895978367,0.8886576689113568,0.2142670214374959,0.0
pathmnist,K-MeansACO,CLIP,imagen,7180,9,1338 847 339 634 1035 592 741 421 1233,1338 847 339 634 1035 592 741 421 1233,460.2723826000001,0.3047234763300593,0.3603650889995299,0.3617196431078782,0.0752678972218608,0.0
oxfordpet,K-MeansACO,CLIP,imagen,7349,37,198 200 200 200 200 200 200 184 199 200 200 190 196 200 200 200 200 200 199 200 200 200 196 200 200 200 200 200 200 200 199 200 199 200 189 200 200,198 200 200 200 200 200 200 184 199 200 200 190 196 200 200 200 200 200 199 200 200 200 196 200 200 200 200 200 200 200 199 200 199 200 189 200 200,562.538796300003,0.3402883740115081,0.5667960287791828,0.5778369096656115,0.0343318688025769,0.0
